run_id,acf_returns_1,acf_abs_returns_1,acf_squared_returns_1,return_kurtosis,return_skewness,return_p01,return_p05,return_p95,return_p99,extreme_negative_1pct,extreme_negative_5pct,liquidation_concentration_top10,corr_liq_negative_return,corr_margin_negative_return
69,-0.07610124828102843,-0.014126455590699624,-0.021330272329097486,-0.06936095601870429,0.10987517202268848,-0.06924591943709836,-0.047796065017399796,0.0536083374624886,0.07535480298678436,0.01,0.05,0.9999999999999999,0.23369299844599717,0.22106779565347315
70,-0.0412162227391223,-0.07169670070880177,-0.0758665574110644,-0.09947739929866017,0.06810772690934538,-0.07289888520210766,-0.054519018089749106,0.050183091140991586,0.07008880726629192,0.01,0.05,0.9816345607516364,0.3656039237209949,0.31673343795143905
71,0.05189097475825747,0.010630552821068024,0.042198466424592115,-0.5183559591888014,-0.05616629488892914,-0.06717595755983082,-0.05337752979435595,0.04936146236055642,0.0597050858016424,0.01,0.05,1.0,0.32425337147047084,0.2594733875746892
72,-0.014258955589194561,0.030662705143764585,0.021080334760016698,0.15476230260713963,0.17040624711724903,-0.0671880900498387,-0.056263826486070846,0.04657803592742261,0.07920762869749366,0.01,0.05,0.9886910984286181,0.3857437825409782,0.38092762538372243
73,-0.031699915696024844,-0.010728577221789288,-0.021299007279993593,-0.21191078815376052,-0.000754818703034889,-0.06448510801642258,-0.05241681095967687,0.049783546941759405,0.06866195978655427,0.01,0.05,0.9999999999999998,0.26378727232734883,0.23527804406570796
74,0.08395532301357252,0.08296960521165135,0.07598491176846497,-0.3690473902424172,-0.0355274759376012,-0.07189050132958756,-0.05217612233145001,0.051004517775619325,0.06482538175099434,0.01,0.05,1.0,0.3499392542405001,0.28317812813140936
75,-0.03994894298826426,-0.09048990381346453,-0.06418981048006445,-0.0581090528860444,0.03646224435967948,-0.07150698318984311,-0.05013047564666371,0.056408054021367296,0.07414313478600924,0.01,0.05,1.0000000000000002,0.2032859389073062,0.19418112984424712
76,0.008739438891886893,0.025333002287361493,0.025758846051065584,-0.22314229523036389,-0.10691278120703585,-0.06977172993094698,-0.05507309053382698,0.04893193617182273,0.0660507521232322,0.01,0.05,1.0000000000000002,0.36722567427361286,0.31569990168438183
77,-0.06431548434330794,0.06559769707948358,0.06282296774640772,-0.446164156898063,0.08271018882514533,-0.059138534669431086,-0.04603777301019544,0.0512641175281281,0.0737997116999275,0.01,0.05,1.0,0.10268640652529018,0.09039048420516312
78,-0.025603040244614496,-0.038801931314162215,-0.04440323390506731,0.1278907408599057,0.18795969556665834,-0.06562372926129328,-0.04974774420068211,0.05164617932889064,0.07080864604269763,0.01,0.05,1.0,0.20332371415795367,0.1861085413173062
79,0.01800419063521145,-0.034522477252630974,-0.03613846953669518,-0.3365330944782512,-0.0516776359958491,-0.07110373533490817,-0.05071929216302274,0.04962377763673026,0.0732619094146187,0.01,0.05,1.0,0.3291689838696227,0.2579264087882734
80,0.025535912394980816,0.006479753680705901,0.017490822253974962,-0.19538873124477085,0.050846747470849794,-0.06815277241753526,-0.05495082860682817,0.05352266775185788,0.067472504367788,0.01,0.05,1.0,0.34054353998220654,0.2626132986723058
